"","absolute","relative","cumulative","cumulative_rel"
"Beaumont",60,0.25,60,0.25
"Bryan-College Station",60,0.25,120,0.5
"Tyler",60,0.25,180,0.75
"Wichita Falls",60,0.25,240,1
